textID,text,selected_text,mood,Sentiment_score_VADER,Sentiment_VADER_label
0,0,im feeling rather rotten so im not very ambitious right now,sadness,im feeling rather rotten im ambitious right,0.0772
1,1,im updating my blog because i feel shitty,sadness,im updating blog feel shitty,-0.5574
2,2,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,never make separate ever want feel like ashamed,-0.0772
3,3,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,left bouquet red yellow tulip arm feeling slightly optimistic arrived,0.3626
4,4,im feeling rather rotten so im not very ambitious right now,sadness,im feeling rather rotten im ambitious right,0.0772
5,5,im updating my blog because i feel shitty,sadness,im updating blog feel shitty,-0.5574
6,6,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,never make separate ever want feel like ashamed,-0.0772
7,7,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,left bouquet red yellow tulip arm feeling slightly optimistic arrived,0.3626
8,8,i was feeling a little vain when i did this one,sadness,feeling little vain one,-0.2516
9,9,i cant walk into a shop anywhere where i do not feel uncomfortable,fear,cant walk shop anywhere feel uncomfortable,-0.3818
10,10,i felt anger when at the end of a telephone call,anger,felt anger end telephone call,-0.5719
11,11,i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,explain clung relationship boy many way immature uncommitted despite excitement feeling getting accepted master program university virginia,-0.2259
12,12,i like to have the same breathless feeling as a reader eager to see what will happen next,joy,like breathless feeling reader eager see happen next,0.6705
13,13,i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,jest feel grumpy tired pre menstrual probably week im fit walrus vacation summer,-0.1027
14,14,i don t feel particularly agitated,fear,feel particularly agitated,-0.5095
15,15,i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,feel beautifully emotional knowing woman knew handful holding baba journey,0.6486
16,16,i pay attention it deepens into a feeling of being invaded and helpless,fear,pay attention deepens feeling invaded helpless,-0.4404
17,17,i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,feel extremely comfortable group people dont even need hide,0.6262
18,18,i find myself in the odd position of feeling supportive of,love,find odd position feeling supportive,0.1027
19,19,i was feeling as heartbroken as im sure katniss was,sadness,feeling heartbroken im sure katniss,-0.3612
20,20,i feel a little mellow today,joy,feel little mellow today,0
21,21,i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,feel like role would tear sail pessimism discontent,0
22,22,i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,feel bcoz fight get mad n u wanna make publicity n let world know fight,-0.8126
23,23,i feel like reds and purples are just so rich and kind of perfect,joy,feel like red purple rich kind perfect,0.9217
24,24,im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,im sure feeling loss ever go away may dull sweet feeling nostalgia shared life dad luck dad year,0.7717
25,25,i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,feel like ive gotten know many comment email im appreciative glad part little space,0.8442
26,26,i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,survey post last year feel pleased vague snippet feel little bit capture like someone like dublin st century,0.716
27,27,i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,also tell hope anyone still feeling stigmatized ashamed mental health issue let go stigma let go shame,-0.4215
28,28,i don t feel guilty like i m not going to be able to cook for him,sadness,feel guilty like going able cook,-0.0772
29,29,i hate it when i feel fearful for absolutely no reason,fear,hate feel fearful absolutely reason,-0.7845
30,30,i am feeling outraged it shows everywhere,anger,feeling outraged show everywhere,-0.4588
31,31,i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,stole book one time favorite author feel like rotten person,0.296
32,32,i do feel insecure sometimes but who doesnt,fear,feel insecure sometimes doesnt,-0.4215
33,33,i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,highly recommend visiting wednesday youre able le crowded get ask farmer question without feeling rude holding line,0.5998
34,34,ive been missing him and feeling so restless at home thinking of him,fear,ive missing feeling restless home thinking,-0.4215
35,35,i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,posted facebook page earlier week ive feeling little grumpy sort past day,0.128
36,36,i start to feel emotional,sadness,start feel emotional,0.1531
37,37,i feel so cold a href http irish,anger,feel cold href http irish,0
38,38,i feel like i m defective or something for not having baby fever,sadness,feel like defective something baby fever,-0.1027
39,39,i feel more virtuous than when i eat veggies dipped in hummus,joy,feel virtuous eat veggie dipped hummus,0.5267
40,40,i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,feel honoured included magzine prioritises health clean living highly im curious read magazine concerned health clean lifestyle green parent,0.8801
41,41,i spent the last two weeks of school feeling miserable,sadness,spent last two week school feeling miserable,-0.4019
42,42,im feeling very peaceful about our wedding again now after having,joy,im feeling peaceful wedding,0.5719
43,43,i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,talking coach claudia barcomb coach ali boe long time made feel welcomed union,0.34
44,44,i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,feel completely hated thing exercise democratic right speak mind ever way possible try enact change,-0.6697
45,45,i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,feel humiliated embarrassed foolish remember others felt way kind thing kind helpful accepting,0.7351
46,46,i feel reassured that i am dealing with my diet in the right way and that all is good,joy,feel reassured dealing diet right way good,0.6808
47,47,i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,feel agree even though imagine rather unpleasant possible case,-0.1531
48,48,im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,im happy mood today feel almost delighted havent done anything different today normally wonderful,0.8862
49,49,im feeling really out of place and irritated,anger,im feeling really place irritated,-0.4173
50,50,i also know that i feel nothing than a friendly affection to them too,joy,also know feel nothing friendly affection,-0.6602
51,51,i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,feel like rather productive weekend cant always say matter much get done,0.3455
52,52,im feeling insecure at the moment,fear,im feeling insecure moment,-0.3182
53,53,i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,feeling pretty anxious day first day work good day helped lot,0.6808
54,54,i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,stood finally stood feel like im punished could go back,-0.128
